date,count,size,description
1/1/2014,1,0,
1/2/2014,0,0,
1/3/2014,0,0,
1/4/2014,0,0,
1/5/2014,1,0,
1/6/2014,0,0,
1/7/2014,0,0,
1/8/2014,1,0,
1/9/2014,2,0,
1/10/2014,54,54,"On January 8th, Charlie Pickering published an article on a trend he saw in the media where the most covered stories were on drunken street violence, and he wanted to bring attention to men’s violence against women.  "
1/11/2014,0,0,
1/12/2014,2,0,
1/13/2014,2,0,
1/14/2014,2,0,
1/15/2014,0,0,
1/16/2014,1,0,
1/17/2014,1,0,
1/18/2014,3,0,
1/19/2014,1,0,
1/20/2014,1,0,
1/21/2014,3,0,
1/22/2014,5,0,
1/23/2014,2,0,
1/24/2014,1,0,
1/25/2014,0,0,
1/26/2014,1,0,
1/27/2014,1,0,
1/28/2014,3,0,
1/29/2014,1,0,
1/30/2014,1,0,
1/31/2014,3,0,
2/1/2014,3,0,
2/2/2014,1,0,
2/3/2014,2,0,
2/4/2014,0,0,
2/5/2014,2,0,
2/6/2014,0,0,
2/7/2014,2,0,
2/8/2014,1,0,
2/9/2014,1,0,
2/10/2014,2,0,
2/11/2014,44,44,"Simon Glittany murder case.  "
2/12/2014,1,0,
2/13/2014,12,0,
2/14/2014,7,0,
2/15/2014,3,0,
2/16/2014,2,0,
2/17/2014,5,0,
2/18/2014,7,0,
2/19/2014,0,0,
2/20/2014,4,0,
2/21/2014,6,0,
2/22/2014,3,0,
2/23/2014,1,0,
2/24/2014,3,0,
2/25/2014,4,0,
2/26/2014,8,0,
2/27/2014,60,60,"Not many common threads. Some posts were about Rachael Taylor speaking out about her own experiences, while another was about a book, 'Lessons Learnt' that was published. Other posts were of various other topics related to family violence that appear sporadic.  "
2/28/2014,3,0,
3/1/2014,1,0,
3/2/2014,2,0,
3/3/2014,1,0,
3/4/2014,4,0,
3/5/2014,6,0,
3/6/2014,7,0,
3/7/2014,14,0,
3/8/2014,6,0,
3/9/2014,3,0,
3/10/2014,12,12,"Fairfax reported violence against women incidences (on 8 March) as part of international women’s day and people were praising at how this was reported. "
3/11/2014,5,0,
3/12/2014,2,0,
3/13/2014,2,0,
3/14/2014,5,0,
3/15/2014,1,0,
3/16/2014,1,0,
3/17/2014,2,0,
3/18/2014,4,0,
3/19/2014,3,0,
3/20/2014,6,0,
3/21/2014,4,0,
3/22/2014,2,0,
3/23/2014,1,0,
3/24/2014,4,0,
3/25/2014,16,16,"Project TB interviewed a victim 'Jane' on family violence. "
3/26/2014,9,0,
3/27/2014,4,0,
3/28/2014,4,0,
3/29/2014,2,0,
3/30/2014,1,0,
3/31/2014,1,0,
4/1/2014,3,0,
4/2/2014,16,0,
4/3/2014,5,0,
4/4/2014,0,0,
4/5/2014,2,0,
4/6/2014,4,0,
4/7/2014,3,0,
4/8/2014,1,0,
4/9/2014,4,0,
4/10/2014,3,0,
4/11/2014,1,0,
4/12/2014,0,0,
4/13/2014,9,0,
4/14/2014,3,0,
4/15/2014,1,0,
4/16/2014,7,0,
4/17/2014,6,0,
4/18/2014,15,0,
4/19/2014,6,0,
4/20/2014,3,0,
4/21/2014,15,0,
4/22/2014,36,36,"Brian Woods, PUP candidate, slammed for being quoted to say that 'domestic violence is solely a woman’s choice'. 

 

Domestic violence vigil held in Sunshine, Melbourne. 

 

Calls made for a Royal Commission inquiry into family violence.  "
4/23/2014,16,0,
4/24/2014,12,0,
4/25/2014,16,0,
4/26/2014,13,0,
4/27/2014,6,0,
4/28/2014,6,0,
4/29/2014,9,0,
4/30/2014,5,0,
5/1/2014,7,0,
5/2/2014,5,0,
5/3/2014,3,0,
5/4/2014,13,0,
5/5/2014,50,50,"ABC news declared family violence as a 'national emergency'.  "
5/6/2014,21,0,
5/7/2014,22,0,
5/8/2014,8,0,
5/9/2014,30,0,
5/10/2014,7,0,
5/11/2014,45,0,
5/12/2014,6,0,
5/13/2014,2,0,
5/14/2014,7,0,
5/15/2014,11,0,
5/16/2014,6,0,
5/17/2014,47,0,
5/18/2014,9,0,
5/19/2014,11,0,
5/20/2014,15,0,
5/21/2014,3,0,
5/22/2014,9,0,
5/23/2014,5,0,
5/24/2014,3,0,
5/25/2014,3,0,
5/26/2014,10,0,
5/27/2014,5,0,
5/28/2014,6,0,
5/29/2014,17,0,
5/30/2014,19,0,
5/31/2014,6,0,
6/1/2014,5,0,
6/2/2014,8,0,
6/3/2014,11,0,
6/4/2014,12,0,
6/5/2014,1,0,
6/6/2014,3,0,
6/7/2014,31,0,
6/8/2014,5,0,
6/9/2014,8,0,
6/10/2014,9,0,
6/11/2014,4,0,
6/12/2014,4,0,
6/13/2014,3,0,
6/14/2014,2,0,
6/15/2014,1,0,
6/16/2014,4,0,
6/17/2014,2,0,
6/18/2014,5,0,
6/19/2014,5,0,
6/20/2014,59,59,"A brutal murder at South Australia sparked tweets. Calls for change and action were made.   "
6/21/2014,2,0,
6/22/2014,4,0,
6/23/2014,1,0,
6/24/2014,3,0,
6/25/2014,13,0,
6/26/2014,30,0,
6/27/2014,17,0,
6/28/2014,6,0,
6/29/2014,9,0,
6/30/2014,8,0,
7/1/2014,5,0,
7/2/2014,8,0,
7/3/2014,1,0,
7/4/2014,6,0,
7/5/2014,5,0,
7/6/2014,2,0,
7/7/2014,19,0,
7/8/2014,7,0,
7/9/2014,6,0,
7/10/2014,3,0,
7/11/2014,7,0,
7/12/2014,5,0,
7/13/2014,3,0,
