,year,type,handler,count,name
0,2014,org,@abcnews,418,ABC News
1,2014,org,@whiteribbonaust,74,White Ribbon
2,2014,org,@qanda,39,ABC Q&A
3,2014,org,@thetodayshow,39,The Today Show
4,2014,org,@theage,23,The Age
5,2014,org,@acurrentaffair,17,A Current Affair (marketplace)
6,2014,org,@theprojecttv,16,The Project (news)
7,2014,org,@dvvic,14,DV Vic
8,2014,org,@smh,14,Sydney Morning Herald
9,2014,org,@dv,14,Demostic Violence
10,2014,per,@buzzrothfield,22,Phil Rothfield (sports journalist)
11,2014,per,@tonyabbottmhr,19,Tony Abbott
12,2014,per,@charliepick,18,Charlie Pickering (host)
13,2014,per,@danielandrewsmp,16,Dan Andrews (MP)
14,2014,per,@rosiebatty,11,Rosie Batty
15,2014,per,@billshortenmp,9,Bill Shorten
16,2014,per,@corybernardi,8,Cory Bernardi (conservative)
17,2014,per,@mariska,8,Mariska Hargitay (actress)
18,2014,per,@mikebairdmp,8,Mike Baird (politician)
19,2014,per,@colleenhartland,7,Colleen Hartland (MP)
20,2015,org,@abcnews,705,ABC News
21,2015,org,@theage,210,The Age
22,2015,org,@changeaus,200,Change.org
23,2015,org,@smh,183,Sydney Morning Herald
24,2015,org,@qanda,182,ABC Q&A
25,2015,org,@dailylifeau,149,Daily Life
26,2015,org,@conversationedu,132,The Conversation (news analysis)
27,2015,org,@whiteribbonaust,103,White Ribbon
28,2015,org,@familycourtau,87,Family Court
29,2015,org,@womensagenda,79,Women's Agenda (news)
30,2015,per,@rosiebatty,320,Rosie Batty
31,2015,per,@turnbullmalcolm,89,Malcolm Turnbull
32,2015,per,@tonyabbottmhr,57,Tony Abbott
33,2015,per,@annastaciamp,43,Annastacia Palaszczuk (MP)
34,2015,per,@johnmcaldwell,42,John Caldwell (reporter)
35,2015,per,@billshortenmp,35,Bill Shorten
36,2015,per,@mikebairdmp,34,Mike Baird (politician)
37,2015,per,@lizbroderick,31,Elizabeth Broderick (activist)
38,2015,per,@frichardsonmp,31,Fiona Richardson (MP)
39,2015,per,@perkinsmiki,29,Miki Perkins (editor)
40,2016,org,@abcnews,723,ABC News
41,2016,org,@smh,302,Sydney Morning Herald
42,2016,org,@theage,207,The Age
43,2016,org,@conversationedu,176,The Conversation (news analysis)
44,2016,org,@changeaus,168,Change.org
45,2016,org,@skinnergj,166,Dougy's Daily Digest
46,2016,org,@dailylifeau,130,Daily Life
47,2016,org,@whiteribbonaust,120,White Ribbon
48,2016,org,@canberratimes,108,Canberra Times
49,2016,org,@dancingceo,89,Dancing CEO (lifestyle)
50,2016,per,@rosiebatty,164,Rosie Batty
51,2016,per,@danielandrewsmp,110,Dan Andrews (MP)
52,2016,per,@turnbullmalcolm,105,Malcolm Turnbull
53,2016,per,@senatorcash,53,Michaelia Cash (minister)
54,2016,per,@frichardsonmp,39,Fiona Richardson (MP)
55,2016,per,@mikebairdmp,29,Mike Baird (politician)
56,2016,per,@erin,28,Erin Caton (activist)
57,2016,per,@vanbadham,27,Van Badham (commentator)
58,2016,per,@kate,26,Kate (artist)
59,2016,per,@carringtonkl,26,Kerry Carrington (professor)
60,2017,org,@abcnews,850,ABC News
61,2017,org,@smh,192,Sydney Morning Herald
62,2017,org,@dailylifeau,177,Daily Life
63,2017,org,@changeaus,145,Change.org
64,2017,org,@skinnergj,142,Dougy's Daily Digest
65,2017,org,@whiteribbonaust,109,White Ribbon
66,2017,org,@theage,105,The Age
67,2017,org,@conversationedu,97,The Conversation (news analysis)
68,2017,org,@newscomauhq,97,news.com.au
69,2017,org,@youtube,69,Youtube
70,2017,per,@bairdjulia,155,Dr Julia Baird (journalist)
71,2017,per,@turnbullmalcolm,128,Malcolm Turnbull
72,2017,per,@paulinehansonoz,116,Pauline Hanson (politician)
73,2017,per,@danielandrewsmp,85,Dan Andrews (MP)
74,2017,per,@rosiebatty,81,Rosie Batty
75,2017,per,@lyleshelton,67,Lyle Shelton (lobbyist)
76,2017,per,@mirandadevine,40,Miranda Devine (columnist)
77,2017,per,@senatorcash,38,Michaelia Cash (minister)
78,2017,per,@billshortenmp,36,Bill Shorten
79,2017,per,@frichardsonmp,27,Fiona Richardson (MP)
80,2018,org,@abcnews,861,ABC News
81,2018,org,@skynewsaust,179,Sky News
82,2018,org,@theage,171,The Age
83,2018,org,@smh,147,Sydney Morning Herald
84,2018,org,@whiteribbonaust,119,White Ribbon
85,2018,org,@skinnergj,119,Dougy's Daily Digest
86,2018,org,@nrl,103,National Rugby League
87,2018,org,@conversationedu,102,The Conversation (news analysis)
88,2018,org,@youtube,97,Youtube
89,2018,org,@ourwatchaus,75,Our Watch
90,2018,per,@scottmorrisonmp,299,Scott Morrison
91,2018,per,@danielandrewsmp,149,Dan Andrews (MP)
92,2018,per,@turnbullmalcolm,117,Malcolm Turnbull
93,2018,per,@bairdjulia,99,Dr Julia Baird (journalist)
94,2018,per,@lyleshelton,91,Lyle Shelton (lobbyist)
95,2018,per,@billshortenmp,70,Bill Shorten
96,2018,per,@rosiebatty,69,Rosie Batty
97,2018,per,@realmarklatham,67,Mark Latham (politician)
98,2018,per,@nathutchins,62,Natalie Hutchins (politician)
99,2018,per,@peterdutton,58,Peter Dutton (MP)
